Address,Street,COMMON,x,y
6727,REISTERSTOWN ROAD,tree of heaven,-8538865.394328257,4773234.516560729
3301,PINKNEY ROAD,tree of heaven,-8537061.609188315,4773499.058565257
5545,KENNISON AVE,tree of heaven,-8537997.78827096,4770874.589214331
5000,PIMLICO ROAD,tree of heaven,-8534785.84190524,4771925.096460034
4600,N ROGERS AVE,tree of heaven,-8537464.051208451,4771200.057367316
4600,N ROGERS AVE,tree of heaven,-8537457.701188609,4771210.922945035
4001,W GARRISON AVE,tree of heaven,-8536078.1469737,4770900.015057821
3900,W GARRISON AVE,tree of heaven,-8536024.586521883,4770998.836844298
3306,SPAULDING AVE,tree of heaven,-8535608.528695092,4771527.895487086
2811,RUSCOMBE LANE,tree of heaven,-8534235.372364152,4771620.129441665
4923,EDGEMERE AVE,tree of heaven,-8535321.251272364,4771193.660784321
3637,WOODLAND AVE,tree of heaven,-8535387.271994418,4770418.424528767
4108,ELDERON AVE,tree of heaven,-8536867.264775958,4770827.025666112
2318,OSWEGO AVE,tree of heaven,-8533525.039801857,4770110.508735614
6602,PARR AVE,tree of heaven,-8539380.44671455,4772265.320721843
6602,PARR AVE,tree of heaven,-8539387.11421191,4772259.07648803
2539,QUANTICO AVE,tree of heaven,-8533860.509743214,4770189.790553
3518,WOODLAND AVE,tree of heaven,-8535262.234808827,4770769.398530836
6110,OAKLEAF AVE,tree of heaven,-8538279.864292279,4772086.914637904
6110,OAKLEAF AVE,tree of heaven,-8538342.808637345,4772134.063287423
6601,BRIGHTON AVE,tree of heaven,-8539390.289204506,4772255.901478512
6503,ARMSTRONG AVE,tree of heaven,-8539079.74922407,4772238.909105211
4301,PARK HEIGHTS AVE,tree of heaven,-8534326.022766436,4770267.888608299
3025,W COLD SPRING LANE,tree of heaven,-8535128.593314525,4770026.651609483
3101,GRANTLEY AVE,tree of heaven,-8534716.151648816,4770028.8409189535
2900,BOARMAN AVE,tree of heaven,-8534857.03494291,4770079.926562323
2900,BOARMAN AVE,tree of heaven,-8534856.955495415,4770080.402845149
3705,PARK HEIGHTS AVE,tree of heaven,-8533734.263089646,4769188.751636059
3445,COTTAGE AVE,tree of heaven,-8533445.483299538,4768700.665225054
3300,TOWANDA AVE,tree of heaven,-8533812.812963067,4768249.496154685
3200,REISTERSTOWN ROAD,tree of heaven,-8533368.868901307,4768113.923731913
2332,OCALA AVE,tree of heaven,-8533318.747186499,4767618.20813238
5000,W FOREST PARK AVE,tree of heaven,-8538544.760651743,4767479.305534416
5000,W FOREST PARK AVE,tree of heaven,-8538545.448589671,4767479.420283569
3310,TOWANDA AVE,tree of heaven,-8533870.044651499,4768329.902445324
3310,TOWANDA AVE,tree of heaven,-8533920.368395867,4768389.036842722
3310,TOWANDA AVE,tree of heaven,-8533922.035315186,4768392.37059334
3310,TOWANDA AVE,tree of heaven,-8533888.062777061,4768353.556285692
3310,TOWANDA AVE,tree of heaven,-8533889.8883698,4768357.128089453
3310,TOWANDA AVE,tree of heaven,-8533875.204025626,4768337.522452858
3310,TOWANDA AVE,tree of heaven,-8533898.064084303,4768366.256223086
3310,TOWANDA AVE,tree of heaven,-8533862.583458005,4768321.885641025
3310,TOWANDA AVE,tree of heaven,-8533862.742146596,4768322.1236999575
2718,BOWERS AVE,tree of heaven,-8539172.951311035,4768499.023394981
2810,HILLDALE AVE,tree of heaven,-8533772.529254785,4768673.077649445
2817,ROCKROSE AVE,tree of heaven,-8533925.879334766,4768868.792327689
3301,TOWANDA AVE,tree of heaven,-8533694.66241305,4768569.969596182
3301,TOWANDA AVE,tree of heaven,-8533650.767996022,4768595.369523121
3301,TOWANDA AVE,tree of heaven,-8533691.328647442,4768571.715862206
5511,ROBINWOOD AVE,tree of heaven,-8539060.458120896,4768530.883524008
2817,ROCKROSE AVE,tree of heaven,-8533926.593669318,4768869.4273157185
5926,SMITH AVE,tree of heaven,-8533377.123733692,4774709.1342942035
2424,W ROGERS AVE,tree of heaven,-8534948.771520637,4772924.058754143
2424,W ROGERS AVE,tree of heaven,-8534870.148843091,4772933.061668085
2412,W ROGERS AVE,tree of heaven,-8534706.239640322,4772949.016055301
5725,PIMLICO ROAD,tree of heaven,-8535006.80187413,4773644.486227894
5735,PIMLICO ROAD,tree of heaven,-8535032.197396131,4773734.669393065
4500,FALLS ROAD,tree of heaven,-8531589.296608118,4771027.97193876
325,W 23RD ST,tree of heaven,-8529505.81292751,4766811.124338898
2516,DRUID PARK DR,tree of heaven,-8533300.114402022,4768801.619138637
2518,DRUID PARK DR,tree of heaven,-8533297.177568734,4768782.092946624
2416,W ROGERS AVE,tree of heaven,-8534779.507170968,4772857.395300187
2424,W ROGERS AVE,tree of heaven,-8534906.612982485,4772881.789842545
2424,W ROGERS AVE,tree of heaven,-8534781.782703029,4772857.712862644
3100,N CHARLES ST,tree of heaven,-8529324.088122932,4768111.750763834
1130,W 43RD ST,tree of heaven,-8531375.100524154,4770447.397923556
5803,GREENSPRING AVE,tree of heaven,-8534841.02281809,4773898.7286252035
5826,GREENSPRING AVE,tree of heaven,-8535177.797614207,4773959.648921086
5824,GREENSPRING AVE,tree of heaven,-8535172.558828972,4773980.868462377
5826,GREENSPRING AVE,tree of heaven,-8535166.949620266,4773962.241735003
5824,GREENSPRING AVE,tree of heaven,-8535150.598468026,4773969.755892884
5800,CROSS COUNTRY BLVD,tree of heaven,-8534262.886581901,4774249.455670474
5800,CROSS COUNTRY BLVD,tree of heaven,-8534272.199866114,4774270.763393037
4401,FALLS ROAD,tree of heaven,-8531476.736728484,4770790.663236432
4401,FALLS ROAD,tree of heaven,-8531485.52088562,4770788.123145621
245,W 31ST ST,tree of heaven,-8529541.636373429,4768280.232967754
711,W 40TH ST,tree of heaven,-8530581.242009742,4770025.462755095
711,W 40TH ST,tree of heaven,-8530584.73438245,4770049.910198203
711,W 40TH ST,tree of heaven,-8530580.448149405,4769951.564697605
1040,W 43RD ST,tree of heaven,-8531112.421896085,4770559.282497979
1040,W 43RD ST,tree of heaven,-8531110.622779528,4770559.758766399
1040,W 43RD ST,tree of heaven,-8531076.015198799,4770568.648715307
4900,WETHEREDSVILLE ROAD,tree of heaven,-8538589.864057329,4767219.197457272
2025,CARTERDALE ROAD,tree of heaven,-8533611.85640483,4773497.750565559
2025,CARTERDALE ROAD,tree of heaven,-8533598.733016534,4773496.480555803
2012,W ROGERS AVE,tree of heaven,-8533493.993408434,4773470.74981807
5415,GREENSPRING AVE,tree of heaven,-8534310.450253528,4773065.436036105
2025,CARTERDALE ROAD,tree of heaven,-8533606.353042092,4773497.04503046
2012,W ROGERS AVE,tree of heaven,-8533499.778900206,4773470.749811332
4921,WINDSOR MILL ROAD,tree of heaven,-8538263.017542275,4765735.568969366
4921,WINDSOR MILL ROAD,tree of heaven,-8538262.858890766,4765737.315178176
4921,WINDSOR MILL ROAD,tree of heaven,-8538260.953831341,4765733.408142177
4921,WINDSOR MILL ROAD,tree of heaven,-8538262.170871506,4765734.457675607
3100,N CHARLES ST,tree of heaven,-8529811.754139297,4768212.78369095
3100,N CHARLES ST,tree of heaven,-8529818.421594849,4768207.624317229
3100,N CHARLES ST,tree of heaven,-8529810.40467914,4768209.846877325
2211,W ROGERS AVE,tree of heaven,-8533820.206669385,4773172.066337673
901,W 33RD ST,tree of heaven,-8530557.706895202,4768583.1192551255
5603,ROXBURY PL,tree of heaven,-8533369.209862614,4773815.649091675
2101,W ROGERS AVE,tree of heaven,-8533653.001763977,4773215.802357054
3912,FALLS ROAD,tree of heaven,-8531194.385653384,4769870.128142501
2101,W ROGERS AVE,tree of heaven,-8533653.200826135,4773220.380674493
1435,UNION AVE,tree of heaven,-8531474.218820952,4769374.283225592
3845,QUARRY AVE,tree of heaven,-8531176.129409669,4769762.442857139
3100,N CHARLES ST,tree of heaven,-8530058.878354328,4768095.324357757
3100,N CHARLES ST,tree of heaven,-8529783.55099185,4769886.131375715
3100,N CHARLES ST,tree of heaven,-8529781.831196774,4769887.965831694
3429,ASH ST,tree of heaven,-8531474.69677211,4768738.378582874
947,AISQUITH ST,tree of heaven,-8527202.394992078,4764942.643175556
1803,GUILFORD AVE,tree of heaven,-8528404.503888628,4766224.598485156
101,E MOUNT ROYAL AVE,tree of heaven,-8528603.566497527,4765560.211331862
1312,GUILFORD AVE,tree of heaven,-8528470.61330928,4765571.800039391
1329,WILCOX ST,tree of heaven,-8527550.73780594,4765597.004379688
816,MADISON AVE,tree of heaven,-8529620.178822592,4764626.814739279
900,MADISON AVE,tree of heaven,-8529677.556525372,4764670.945330834
606,N PACA ST,tree of heaven,-8529798.2814689,4764133.264381138
606,N PACA ST,tree of heaven,-8529804.102304686,4764139.349803528
606,N PACA ST,tree of heaven,-8529776.479823802,4764110.616064326
606,N PACA ST,tree of heaven,-8529794.630194835,4764129.983506521
606,N PACA ST,tree of heaven,-8529802.567778362,4764138.34435706
606,N PACA ST,tree of heaven,-8529801.826822756,4764137.074367952
606,N PACA ST,tree of heaven,-8529631.941344256,4764068.8698271895
606,N PACA ST,tree of heaven,-8529804.790241953,4764139.984813386
606,N PACA ST,tree of heaven,-8529788.59774109,4764123.580672455
606,N PACA ST,tree of heaven,-8529800.080594964,4764135.328206178
1004,E CHASE ST,tree of heaven,-8527436.81117602,4765122.439022029
