STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-01,6.04,,1.02,0,0,36,39,30,100,100,25.9,33.1,1,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-02,8.05,,0.01,0,0,44,57,38,290,320,29.1,36.9,1,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-03,6.93,,0.2,0,0,41,42,36,50,30,13,17,1,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-04,3.36,,0,0,0,39,47,31,320,320,10.1,14.1,1,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-05,3.36,,0,0,0,41,44,38,310,10,8.9,15,1,,,,,,1
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-06,9.62,,0,0,0,40,42,37,320,320,18.1,30,,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-07,6.04,,0,0,0,40,47,31,310,340,15,23,,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-08,3.8,,0,0,0,34,38,29,350,340,8.1,16.1,,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-09,10.07,,0,0,0,36,46,29,300,10,18.1,28,,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-10,4.92,,0,0,0,39,50,26,300,290,14.1,19,,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-11,1.34,,0,0,0,33,45,24,240,190,6,8.9,,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-12,2.68,,0,0,0,35,49,23,270,270,12.1,15,,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-13,2.46,,0,0,0,35,51,23,130,140,12.1,16.1,,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-14,1.79,,0,0,0,38,55,27,100,30,8.1,12.1,1,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-15,6.04,,0.27,0,0,40,50,31,120,120,16.1,23.9,1,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-16,8.28,,0,0,0,43,49,34,290,260,18.1,25.1,1,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-17,8.5,,0,0,0,40,50,34,240,230,19.9,29.1,,,,,,,
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2021-01-18,9.4,,0,0,0,40,46,32,280,300,21.9,31.1,,,,,,,
