"","policeDistrict","year","month","callFreq","nParks"
"1","Central",2021,6,5,47
"2","Central",2021,7,7,47
"3","Central",2021,8,6,47
"4","Central",2021,9,6,47
"5","Central",2021,10,5,47
"6","Central",2021,11,3,47
"7","Central",2021,12,4,47
"8","Central",2022,1,2,47
"9","Central",2022,2,0,47
"10","Central",2022,3,6,47
"11","Central",2022,4,6,47
"12","Central",2022,5,6,47
"13","Central",2022,6,7,47
"14","Central",2022,7,8,47
"15","Central",2022,8,7,47
"16","Central",2022,9,2,47
"17","Central",2022,10,4,47
"18","Central",2022,11,4,47
"19","Central",2022,12,6,47
"20","Central",2023,1,5,47
"21","Central",2023,2,3,47
"22","Central",2023,3,4,47
"23","Central",2023,4,7,47
"24","Central",2023,5,3,47
"25","Central",2023,6,0,47
"26","Central",2023,7,4,47
"27","Central",2023,8,3,47
"28","Central",2023,9,9,47
"29","Central",2023,10,3,47
"30","Central",2023,11,5,47
"31","Central",2023,12,11,47
"32","Central",2024,1,0,47
"33","Eastern",2021,6,2,28
"34","Eastern",2021,7,4,28
"35","Eastern",2021,8,4,28
"36","Eastern",2021,9,5,28
"37","Eastern",2021,10,3,28
"38","Eastern",2021,11,1,28
"39","Eastern",2021,12,1,28
"40","Eastern",2022,1,1,28
"41","Eastern",2022,2,2,28
"42","Eastern",2022,3,5,28
"43","Eastern",2022,4,4,28
"44","Eastern",2022,5,5,28
"45","Eastern",2022,6,2,28
"46","Eastern",2022,7,3,28
"47","Eastern",2022,8,2,28
"48","Eastern",2022,9,2,28
"49","Eastern",2022,10,4,28
"50","Eastern",2022,11,4,28
"51","Eastern",2022,12,2,28
"52","Eastern",2023,1,3,28
"53","Eastern",2023,2,4,28
"54","Eastern",2023,3,7,28
"55","Eastern",2023,4,3,28
"56","Eastern",2023,5,1,28
"57","Eastern",2023,6,3,28
"58","Eastern",2023,7,5,28
"59","Eastern",2023,8,2,28
"60","Eastern",2023,9,4,28
"61","Eastern",2023,10,4,28
"62","Eastern",2023,11,4,28
"63","Eastern",2023,12,5,28
"64","Eastern",2024,1,0,28
"65","Northeastern",2021,6,13,22
"66","Northeastern",2021,7,17,22
"67","Northeastern",2021,8,14,22
"68","Northeastern",2021,9,20,22
"69","Northeastern",2021,10,3,22
"70","Northeastern",2021,11,4,22
"71","Northeastern",2021,12,7,22
"72","Northeastern",2022,1,7,22
"73","Northeastern",2022,2,6,22
"74","Northeastern",2022,3,4,22
"75","Northeastern",2022,4,6,22
"76","Northeastern",2022,5,10,22
"77","Northeastern",2022,6,10,22
"78","Northeastern",2022,7,8,22
"79","Northeastern",2022,8,5,22
"80","Northeastern",2022,9,11,22
