OBJECTID,parkName,altPrkName,parkAddr,addressFull,prkAcreage,bcrpPark,parkOprtr,parkClass,ctyOwndPrk,bcrpAmnty,parkDstrct,cnclDstrct,policeDstrct,lgsltvDstrct,friendsGroup,Shape__Area,Shape__Length,perTreeCover18,perGreenSpace18,perUndvlpEst18,undvlpAcreage18,siteID
1,32nd Street Park,Abell Open Space,301 E 32nd St,"301 EAST 32ND ST, BALTIMORE, MD, 21218",0.16872078,Y,BCRP,Mini Park,Y,,Clifton,14,Northern,43,Yes,7349.506592,343.7818102,21.72022249,88.67669714,12.119302,0.020447944,P1
2,Adams Park,,1530 Montpelier St,"1530 MONTPELIER ST, BALTIMORE, MD, 21218",0.622840792,Y,BCRP,Mini Park,Y,,Clifton,14,Eastern,43,Unknown,27131.05328,1048.083366,46.20768366,76.6860061,39.21931348,0.244275837,P2
3,Alexander Odum Park,,3111 Presstman St,"3111 PRESSTMAN ST, BALTIMORE, MD, 21216",1.357200346,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Northwestern,40,Unknown,59119.88367,1068.94544,48.59442977,82.26142272,70.72553269,0.959894854,P3
4,Alhambra Park,,5200 Alhambra Ave,"5200 ALHAMBRA AVE, BALTIMORE, MD, 21212",0.992765125,Y,BCRP,Mini Park,Y,,Clifton,4,Northern,43,Unknown,43245.02191,1435.810078,5.459685519,68.93987562,0.166030194,0.001648303,P4
5,Henrietta Lacks Educational Park,Ambrose Kennedy Park,1002 Harford Ave,"1002 HARFORD AVE, BALTIMORE, MD, 21202",1.725192749,Y,BCRP,Neighborhood Park,Y,,Patterson,12,Central,45,Unknown,75149.69678,1171.859533,5.08901804,52.03827728,1.945139536,0.033557675,P5
6,Anchorage Promenade Park,,2339 Boston St (Rear),"2339 BOSTON ST, BALTIMORE, MD, 21224",0.296761909,Y,BCRP,Citywide Park,Y,,Patterson,1,Southeastern,46,Unknown,12927.00037,1744.913202,8.138380954,82.35996591,42.2888729,0.12549827,P6
7,Andover & North Hill Park,,1116 Andover Rd (Rear),"1116 ANDOVER RD, BALTIMORE, MD, 21218",0.602632734,Y,BCRP,Mini Park,Y,,Clifton,14,Northeastern,43,Unknown,26250.78693,705.9683405,43.41243854,83.36764735,31.41985794,0.189347864,P7
8,Arnold Sumpter Park,,240 Laurens St,"240 LAURENS ST, BALTIMORE, MD, 21217",2.974128838,Y,BCRP,Neighborhood Park,Y,,Druid Hill,7,Western,40,Unknown,129553.5706,1505.561177,47.68026901,97.03879666,69.85872966,2.077705246,P8
9,Asbury Park,,1322 Asbury Rd,"1322 ASBURY RD, BALTIMORE, MD, 21209",2.798917353,Y,BCRP,Green Space,Y,,Druid Hill,5,Northern,41,Unknown,121921.3271,3146.046081,69.53697879,99.16579052,67.5834776,1.891620816,P9
10,Atlantic Avenue Park,,2304 Atlantic Ave,"2304 ATLANTIC AVE, BALTIMORE, MD, 21230",1.611079024,Y,BCRP,Green Space,Y,,Carroll,10,Southern,46,Unknown,70178.88318,1661.034567,72.30918882,94.47332793,39.70593163,0.639699053,P10
11,B & O Museum Park,,906 W Pratt St,"906 WEST PRATT ST, BALTIMORE, MD, 21223",0.479261693,N,BCRP,Mini Park,Y,,Gwynns Falls,9,Southwestern,40,Unknown,20876.63928,606.7980193,17.07618855,68.43578855,10.22713768,0.049014949,P11
12,B & O Slope Park,,1400 Cathedral St,"1400 CATHEDRAL ST, BALTIMORE, MD, 21201",0.917281469,Y,BCRP,Green Space,Y,,Carroll,11,Central,40,Unknown,39956.94055,1240.466104,35.41847876,91.11142947,4.276703631,0.039229724,P12
13,Barbara & Parkwood Park,,5101 Mayview Ave,"5101 MAYVIEW AVE, BALTIMORE, MD, 21206",6.828928477,Y,BCRP,Forest,Y,,Clifton,2,Northeastern,45,Unknown,297469.3139,2855.565274,97.13715724,99.99321938,73.56427423,5.023691861,P13
14,Calvert Street Park,Barclay Park,2201 N Calvert St,"2201 NORTH CALVERT ST, BALTIMORE, MD, 21218",1.326468359,Y,BCRP,Neighborhood Park,Y,,Clifton,12,Eastern,43,Unknown,57781.19287,1004.00041,36.34892391,94.38655235,35.68183749,0.473312071,P14
15,Belnord Square Park,Library Square Park,2800 Pulaski Hwy,"2800 PULASKI HWY, BALTIMORE, MD, 21224",1.10596609,Y,BCRP,Mini Park,Y,,Patterson,13,Southeastern,45,Unknown,48176.07599,1692.511856,62.57759416,81.98511034,50.85950309,0.562493358,P15
16,Belvedere & Sunset Street Park,,W Belvedere & Suset Rd,"WEST BELVEDERE AVE & SUNSET RD, BALTIMORE, MD, 21215",0.172176251,Y,BCRP,Green Space,Y,,Druid Hill,6,Northern,41,Unknown,7500.027405,376.4242458,71.17199742,99.07029998,0.115307404,0.000198534,P16
17,Betty Hyatt Park,,1710 E Baltimore St,"1710 EAST BALTIMORE ST, BALTIMORE, MD, 21231",1.758938639,Y,BCRP,Neighborhood Park,Y,,Patterson,13,Central,46,Yes,76619.67358,1192.398925,38.62455391,64.00940507,0.251000411,0.004414979,P17
18,Bishop Square Park,,W University Ave & N Charles St,"WEST UNIVERSITY PKWY & NORTH CHARLES ST, BALTIMORE, MD, 21218",0.882420515,Y,BCRP,Mini Park,Y,,Clifton,14,Northern,43,Unknown,38438.39136,828.958726,40.72091275,93.43424362,50.99375611,0.449982965,P18
19,Bocek Park,,3000 E Madison St,"3000 EAST MADISON ST, BALTIMORE, MD, 21205",16.81712811,Y,BCRP,Citywide Park,Y,,Patterson,13,Southeastern,45,Unknown,732557.0308,3714.979256,10.87668906,93.15137226,0.295854735,0.049754668,P19
20,Bonview Park,,3800 Sinclair Ln (Rear),"3800 SINCLAIR LN, BALTIMORE, MD, 21213",0.381617668,Y,BCRP,Mini Park,Y,,Clifton,13,Eastern,45,Unknown,16623.33197,560.3349317,20.25334796,40.39035434,14.19956875,0.054188497,P20
21,Boston Street Pier Park,,2601 Boston St,"2601 BOSTON ST, BALTIMORE, MD, 21224",0.726247629,Y,BCRP,Mini Park,Y,,Patterson,1,Southeastern,46,Unknown,31635.47327,797.4332956,20.93024482,82.91008639,5.61673624,0.04079174,P21
22,Bucknell & Moores Park,,5400 Bucknell Rd,"5400 BUCKNELL RD, BALTIMORE, MD, 21206",0.334045855,Y,BCRP,Mini Park,Y,,Clifton,2,Northeastern,45,Unknown,14551.0957,499.7252516,7.795767588,55.10723195,25.29904494,0.084511087,P22
23,Buena Vista Park,,4001 Buena Vista Ave,"4001 BUENA VISTA AVE, BALTIMORE, MD, 21211",2.824610332,Y,BCRP,Neighborhood Park,Y,,Druid Hill,7,Northern,40,Unknown,123040.5183,1407.044636,22.55741136,89.60193395,13.67297251,0.386211284,P23
24,Burdick Park,,6300 Walther Ave,"6300 WALTHER AVE, BALTIMORE, MD, 21206",11.02961885,Y,BCRP,Neighborhood Park,Y,,Clifton,2,Northeastern,45,Unknown,480452.1191,3081.260319,46.23544229,94.16409147,9.740513509,1.074350109,P24
25,C.C. Jackson Park,Park Heights,4910 Park Heights Ave,"4910 PARK HEIGHTS AVE, BALTIMORE, MD, 21215",9.747593947,Y,BCRP,Neighborhood Park,Y,,Druid Hill,6,Northern,41,Unknown,424606.891,3282.583299,10.31388675,68.09211556,2.942465594,0.286821893,P25
26,Calvert & Federal Park,,1601 N Calvert St,"1601 NORTH CALVERT ST, BALTIMORE, MD, 21202",0.248515765,Y,BCRP,Mini Park,Y,,Patterson,12,Eastern,45,Unknown,10825.39001,415.6867655,87.31371693,91.74245096,8.536906909,0.021215729,P26
27,Mount Vernon Children's Park,Calvert & Madison Park,801 N Calvert St,"801 NORTH CALVERT ST, BALTIMORE, MD, 21202",0.159271071,Y,BCRP,Mini Park,Y,,Carroll,12,Central,46,Unknown,6937.87561,351.8458583,29.71566395,47.64146093,2.921558963,0.004653235,P27
28,Canton Waterfront Park,,3001 Boston St,"3001 BOSTON ST, BALTIMORE, MD, 21224",8.55993403,Y,BCRP,Citywide Park,Y,,Patterson,1,Southeastern,46,Unknown,372872.2174,3920.803794,21.62199489,60.32685072,4.435840765,0.379708081,P28
29,Carlton Street Park,,115 S Carlton St,"115 SOUTH CARLTON ST, BALTIMORE, MD, 21223",0.128664249,Y,BCRP,Special Use - Facility,Y,,Gwynns Falls,9,Southwestern,40,Unknown,5604.637085,301.972936,88.16455715,95.80582797,20.31428425,0.02613743,P29
30,Caroline & Hoffman Park,,1351 N Eden St,"1351 NORTH EDEN ST, BALTIMORE, MD, 21213",1.046301254,Y,BCRP,Neighborhood Park,Y,,Patterson,12,Eastern,45,Unknown,45577.06482,1039.094348,53.76165789,63.26523418,12.87691208,0.13473237,P30
31,Carroll & Archer Park,,838 Carroll St,"838 CARROLL ST, BALTIMORE, MD, 21230",0.108407771,Y,BCRP,Mini Park,Y,,Carroll,10,Southern,40,Unknown,4722.261536,271.6249234,29.70034036,29.70034036,12.19212868,0.013217321,P31
32,Castle Street Park,,2025 E Fairmount Ave,"2025 EAST FAIRMOUNT AVE, BALTIMORE, MD, 21231",0.681619532,Y,BCRP,Mini Park,Y,,Patterson,13,Southeastern,46,Unknown,29691.46576,898.1674875,57.10660355,91.22317233,1.491615963,0.010167227,P32
33,Catherine Street Park,,2311 Ashton St,"2311 ASHTON ST, BALTIMORE, MD, 21223",2.185536486,Y,BCRP,Neighborhood Park,Y,,Carroll,9,Southwestern,40,Unknown,95202.3501,1274.139257,12.70863147,84.3463892,1.134252566,0.024789702,P33
34,Chestnut Hill Park,,601 Chestnut Hill Ave,"601 CHESTNUT HILL AVE, BALTIMORE, MD, 21218",0.381223767,Y,BCRP,Mini Park,Y,,Clifton,14,Northern,43,Unknown,16606.17365,732.6690347,32.05489304,77.40510005,35.99332285,0.137216199,P34
35,Chinquapin Run Park,,6000 Chinquapin Pkwy,"6000 CHINQUAPIN PKWY, BALTIMORE, MD, 21239",80.9703283,Y,BCRP,Citywide Park,Y,,Clifton,"3,4",Northeastern,43,Unknown,3527081.608,25113.38104,76.70984375,97.90910366,89.75000699,72.67145668,P35
36,City Springs Park,,1600 E Baltimore St,"1600 EAST BALTIMORE ST, BALTIMORE, MD, 21231",3.845375496,Y,BCRP,Neighborhood Park,Y,,Patterson,12,Central,46,Unknown,167505.2266,1631.428823,21.75212478,87.47259621,2.250232061,0.086530565,P36
37,Clifton Park,,2801 Harford Rd,"2801 HARFORD RD, BALTIMORE, MD, 21213",246.1781522,Y,BCRP,Citywide Park,Y,,Clifton,12,Eastern,45,Yes,10723563.21,26590.11573,21.86838142,91.75268173,6.037520921,14.86317635,P37
38,Coldstream Park,,1401 Filmore St,"1401 FILLMORE ST, BALTIMORE, MD, 21218",3.44600023,Y,BCRP,Neighborhood Park,Y,,Clifton,14,Eastern,43,Unknown,150108.3704,1899.897525,53.74677925,79.74543571,23.27314514,0.801999051,P38
39,Collington Square Park,,2131 E Hoffman St,"2131 EAST HOFFMAN ST, BALTIMORE, MD, 21213",5.657702573,Y,BCRP,Neighborhood Park,Y,,Patterson,13,Eastern,45,Unknown,246450.5101,2124.61248,21.62213165,82.17881995,14.62061991,0.827197806,P39
40,Columbus Park,Inner Harbor,300 President St,"300 PRESIDENT ST, BALTIMORE, MD, 21202",0.866271094,Y,Waterfront Partnership (BCRP),Citywide Park,Y,,Patterson,12,Central,46,Unknown,37734.91986,779.0061727,29.23622396,43.6010833,19.14520003,0.165850661,P40
41,Congressional Medal Of Honor Traffic Island,,1100 Park Ave,"1100 PARK AVE, BALTIMORE, MD, 21201",0.421091869,Y,BCRP,Green Space,Y,,Druid Hill,11,Western,40,Unknown,18342.83527,604.8447861,53.29005383,83.01326101,51.32756514,0.216137932,P41
42,Contee-Parago Park,Contee-Parago Traffic Island,280 Dolphin St,"280 DOLPHIN ST, BALTIMORE, MD, 21217",0.326375291,Y,BCRP,Mini Park,Y,,Druid Hill,11,Western,40,Unknown,14216.96448,503.487573,90.20258587,93.66063996,73.88572151,0.241146668,P42
43,Conway Street Park,,601 W Conway St,"601 WEST CONWAY ST, BALTIMORE, MD, 21230",2.11855837,Y,BCRP,Mini Park,Y,,Carroll,10,Southern,46,Unknown,92284.77197,1400.118748,47.41870896,94.22412242,91.5764162,1.940115351,P43
44,Candy Stripe Park,Cottage Avenue Park,3700 Cottage Ave (Rear),"3700 COTTAGE AVE, BALTIMORE, MD, 21215",0.533086099,Y,BCRP,Mini Park,Y,,Druid Hill,6,Northern,40,Unknown,23221.32343,745.4252933,41.65479642,52.4410456,30.5556842,0.162889408,P44
45,Cumberland & Carey Park,,1641 N Carey St,"1641 NORTH CAREY ST, BALTIMORE, MD, 21217",1.184113103,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,7,Western,40,Unknown,51580.17316,976.5726292,15.21087674,55.23907942,1.958882301,0.023195568,P45
46,Curtis Bay Park,,4416 Curtis Ave,"4416 CURTIS AVE, BALTIMORE, MD, 21226",2.236690908,Y,BCRP,Neighborhood Park,Y,,Carroll,10,Southern,46,Unknown,97430.64557,1321.474169,12.51116645,56.73699274,0.796500464,0.017815396,P46
47,Cylburn Arboretum,,4915 Greenspring Ave,"4915 GREENSPRING AVE, BALTIMORE, MD, 21209",237.56913,Y,BCRP,Special Use - Facility,Y,,Druid Hill,6,Northern/Northwestern,41,Yes,10348552.7,29017.54697,84.08587604,95.12283725,76.14014436,180.8869256,P47
48,Daisy Field,,N Monastery Ave & N Hilton St,"N MONASTERY AVE & N HILTON ST, BALTIMORE, MD, 21229",28.00161498,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,"8,9",Southwestern,40/41,Unknown,1219755.227,8907.151363,70.54723491,97.26037204,95.15304613,26.64460277,P48
49,Desoto Park,,1600 Desoto Rd,"1600 DESOTO RD, BALTIMORE, MD, 21230",6.445167106,Y,BCRP,Neighborhood Park,Y,,Carroll,10,Southern,40,Unknown,280752.6022,2432.543662,31.97200516,83.63786955,19.34508471,1.246833011,P49
50,Dewees Park,,5501 Ivanhoe Ave,"5501 IVANHOE AVE, BALTIMORE, MD, 21212",15.83814671,Y,BCRP,Neighborhood Park,Y,,Clifton,4,Northern,43,Unknown,689912.4302,4872.211073,14.31543268,95.27696059,1.309189268,0.207352976,P50
51,Douglas R. Morrison Park,,1719 Park Ave (Rear),"1719 PARK AVE, BALTIMORE, MD, 21217",0.072681191,Y,BCRP,Green Space,Y,,Druid Hill,7,Western,40,Unknown,3166.005371,243.4560507,69.37926786,99.26600955,0.544251805,0.000395572,P51
52,Easterwood Park,,1522 N Bentalou St,"1522 NORTH BENTALOU ST, BALTIMORE, MD, 21216",7.819256218,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,7,Western,40,Unknown,340608.1631,2422.773849,38.05657016,93.88603371,1.726373208,0.134990624,P52
53,Eden & Eager Park,,911 N Eden St,"911 NORTH EDEN ST, BALTIMORE, MD, 21205",0.715874994,Y,BCRP,Mini Park,Y,,Patterson,12,Central,45,Unknown,31183.63953,1242.846154,67.76928549,84.21475719,0.613402458,0.00439123,P53
54,Edgecombe Park,,2601 Edgecombe Cir N,"2601 EDGECOMBE CIR NORTH, BALTIMORE, MD, 21215",5.489964617,Y,BCRP,Neighborhood Park,Y,,Druid Hill,6,Northern,40,Yes,239143.8153,1990.954289,81.58684019,96.78649754,70.2660292,3.857611002,P54
55,Edgewood / Lyndhurst Park,,835 Allendale St,"835 ALLENDALE ST, BALTIMORE, MD, 21229",7.257893239,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,8,Southwestern,41,Unknown,316155.0941,2537.469209,39.58401994,87.58112506,13.57270788,0.985100529,P55
56,Elgin Park,,2821 Gwynns Falls Pkwy,"2821 GWYNNS FALLS PKWY, BALTIMORE, MD, 21216",1.216288193,Y,BCRP,Green Space,Y,,Gwynns Falls,7,Western,40,Unknown,52981.72583,1070.198634,6.475077402,91.01321135,15.77022749,0.19181295,P56
