"","policeDistrict","year","month","callFreq"
"1","Central",2021,6,5
"2","Central",2021,7,7
"3","Central",2021,8,6
"4","Central",2021,9,6
"5","Central",2021,10,5
"6","Central",2021,11,3
"7","Central",2021,12,4
"8","Central",2022,1,2
"9","Central",2022,2,0
"10","Central",2022,3,6
"11","Central",2022,4,6
"12","Central",2022,5,6
"13","Central",2022,6,7
"14","Central",2022,7,8
"15","Central",2022,8,7
"16","Central",2022,9,2
"17","Central",2022,10,4
"18","Central",2022,11,4
"19","Central",2022,12,6
"20","Central",2023,1,5
"21","Central",2023,2,3
"22","Central",2023,3,4
"23","Central",2023,4,7
"24","Central",2023,5,3
"25","Central",2023,6,0
"26","Central",2023,7,4
"27","Central",2023,8,3
"28","Central",2023,9,9
"29","Central",2023,10,3
"30","Central",2023,11,5
"31","Central",2023,12,11
"32","Central",2024,1,0
"33","Eastern",2021,6,2
"34","Eastern",2021,7,4
"35","Eastern",2021,8,4
"36","Eastern",2021,9,5
"37","Eastern",2021,10,3
"38","Eastern",2021,11,1
"39","Eastern",2021,12,1
"40","Eastern",2022,1,1
"41","Eastern",2022,2,2
"42","Eastern",2022,3,5
"43","Eastern",2022,4,4
"44","Eastern",2022,5,5
"45","Eastern",2022,6,2
"46","Eastern",2022,7,3
"47","Eastern",2022,8,2
"48","Eastern",2022,9,2
"49","Eastern",2022,10,4
"50","Eastern",2022,11,4
"51","Eastern",2022,12,2
"52","Eastern",2023,1,3
"53","Eastern",2023,2,4
"54","Eastern",2023,3,7
"55","Eastern",2023,4,3
"56","Eastern",2023,5,1
"57","Eastern",2023,6,3
"58","Eastern",2023,7,5
"59","Eastern",2023,8,2
"60","Eastern",2023,9,4
"61","Eastern",2023,10,4
"62","Eastern",2023,11,4
"63","Eastern",2023,12,5
"64","Eastern",2024,1,0
"65","Northeastern",2021,6,13
"66","Northeastern",2021,7,17
"67","Northeastern",2021,8,14
"68","Northeastern",2021,9,20
"69","Northeastern",2021,10,3
"70","Northeastern",2021,11,4
"71","Northeastern",2021,12,7
"72","Northeastern",2022,1,7
"73","Northeastern",2022,2,6
"74","Northeastern",2022,3,4
"75","Northeastern",2022,4,6
"76","Northeastern",2022,5,10
"77","Northeastern",2022,6,10
"78","Northeastern",2022,7,8
"79","Northeastern",2022,8,5
"80","Northeastern",2022,9,11
"81","Northeastern",2022,10,5
"82","Northeastern",2022,11,8
"83","Northeastern",2022,12,10
"84","Northeastern",2023,1,12
"85","Northeastern",2023,2,10
"86","Northeastern",2023,3,14
"87","Northeastern",2023,4,8
"88","Northeastern",2023,5,3
"89","Northeastern",2023,6,7
"90","Northeastern",2023,7,4
"91","Northeastern",2023,8,6
"92","Northeastern",2023,9,8
"93","Northeastern",2023,10,4
"94","Northeastern",2023,11,6
"95","Northeastern",2023,12,5
"96","Northeastern",2024,1,0
"97","Northern",2021,6,2
"98","Northern",2021,7,11
"99","Northern",2021,8,10
"100","Northern",2021,9,5
"101","Northern",2021,10,2
"102","Northern",2021,11,5
"103","Northern",2021,12,3
"104","Northern",2022,1,3
"105","Northern",2022,2,3
"106","Northern",2022,3,9
"107","Northern",2022,4,2
"108","Northern",2022,5,5
"109","Northern",2022,6,3
"110","Northern",2022,7,9
"111","Northern",2022,8,9
"112","Northern",2022,9,3
"113","Northern",2022,10,6
"114","Northern",2022,11,5
"115","Northern",2022,12,8
"116","Northern",2023,1,5
"117","Northern",2023,2,3
"118","Northern",2023,3,6
"119","Northern",2023,4,4
"120","Northern",2023,5,7
"121","Northern",2023,6,3
"122","Northern",2023,7,2
"123","Northern",2023,8,2
"124","Northern",2023,9,4
"125","Northern",2023,10,7
"126","Northern",2023,11,1
"127","Northern",2023,12,5
"128","Northern",2024,1,0
"129","Northwestern",2021,6,6
"130","Northwestern",2021,7,17
"131","Northwestern",2021,8,9
"132","Northwestern",2021,9,12
"133","Northwestern",2021,10,9
"134","Northwestern",2021,11,8
"135","Northwestern",2021,12,7
"136","Northwestern",2022,1,3
"137","Northwestern",2022,2,4
"138","Northwestern",2022,3,5
"139","Northwestern",2022,4,6
"140","Northwestern",2022,5,9
"141","Northwestern",2022,6,5
"142","Northwestern",2022,7,13
"143","Northwestern",2022,8,11
"144","Northwestern",2022,9,4
"145","Northwestern",2022,10,2
"146","Northwestern",2022,11,13
"147","Northwestern",2022,12,12
"148","Northwestern",2023,1,8
"149","Northwestern",2023,2,9
"150","Northwestern",2023,3,11
"151","Northwestern",2023,4,6
"152","Northwestern",2023,5,4
"153","Northwestern",2023,6,2
"154","Northwestern",2023,7,2
"155","Northwestern",2023,8,4
"156","Northwestern",2023,9,5
"157","Northwestern",2023,10,9
"158","Northwestern",2023,11,11
"159","Northwestern",2023,12,3
"160","Northwestern",2024,1,1
"161","Southeastern",2021,6,2
"162","Southeastern",2021,7,5
"163","Southeastern",2021,8,11
"164","Southeastern",2021,9,5
"165","Southeastern",2021,10,4
"166","Southeastern",2021,11,0
"167","Southeastern",2021,12,1
"168","Southeastern",2022,1,3
"169","Southeastern",2022,2,2
"170","Southeastern",2022,3,7
"171","Southeastern",2022,4,3
"172","Southeastern",2022,5,7
"173","Southeastern",2022,6,0
"174","Southeastern",2022,7,5
"175","Southeastern",2022,8,6
"176","Southeastern",2022,9,2
"177","Southeastern",2022,10,6
"178","Southeastern",2022,11,4
"179","Southeastern",2022,12,5
"180","Southeastern",2023,1,1
"181","Southeastern",2023,2,3
"182","Southeastern",2023,3,10
"183","Southeastern",2023,4,5
"184","Southeastern",2023,5,3
"185","Southeastern",2023,6,1
"186","Southeastern",2023,7,5
"187","Southeastern",2023,8,5
"188","Southeastern",2023,9,4
"189","Southeastern",2023,10,6
"190","Southeastern",2023,11,5
"191","Southeastern",2023,12,2
"192","Southeastern",2024,1,1
"193","Southern",2021,6,2
"194","Southern",2021,7,2
"195","Southern",2021,8,3
"196","Southern",2021,9,3
"197","Southern",2021,10,3
"198","Southern",2021,11,2
"199","Southern",2021,12,5
"200","Southern",2022,1,0
"201","Southern",2022,2,3
"202","Southern",2022,3,4
"203","Southern",2022,4,1
"204","Southern",2022,5,4
"205","Southern",2022,6,4
"206","Southern",2022,7,8
"207","Southern",2022,8,4
"208","Southern",2022,9,3
"209","Southern",2022,10,2
"210","Southern",2022,11,3
"211","Southern",2022,12,4
"212","Southern",2023,1,3
"213","Southern",2023,2,3
"214","Southern",2023,3,7
"215","Southern",2023,4,3
"216","Southern",2023,5,5
"217","Southern",2023,6,0
"218","Southern",2023,7,3
"219","Southern",2023,8,1
"220","Southern",2023,9,6
"221","Southern",2023,10,4
"222","Southern",2023,11,8
"223","Southern",2023,12,4
"224","Southern",2024,1,0
"225","Southwestern",2021,6,11
"226","Southwestern",2021,7,8
"227","Southwestern",2021,8,12
"228","Southwestern",2021,9,2
"229","Southwestern",2021,10,8
"230","Southwestern",2021,11,3
"231","Southwestern",2021,12,4
"232","Southwestern",2022,1,2
"233","Southwestern",2022,2,2
"234","Southwestern",2022,3,6
"235","Southwestern",2022,4,1
"236","Southwestern",2022,5,9
"237","Southwestern",2022,6,4
"238","Southwestern",2022,7,4
