"DATE","PD","TEMP"
2021-01-01,1,268.025065104167
2021-01-01,2,268.025065104167
2021-01-01,3,268.025065104167
2021-01-01,4,268.025065104167
2021-01-01,5,NA
2021-01-01,6,NA
2021-01-01,7,NA
2021-01-01,8,268.025065104167
2021-01-01,9,268.025065104167
2021-01-02,1,273.096692403158
2021-01-02,2,273.096692403158
2021-01-02,3,273.096692403158
2021-01-02,4,273.096692403158
2021-01-02,5,NA
2021-01-02,6,NA
2021-01-02,7,NA
2021-01-02,8,273.096692403158
2021-01-02,9,273.096692403158
2021-01-03,1,270.446816762288
2021-01-03,2,270.446816762288
2021-01-03,3,270.446816762288
2021-01-03,4,270.446816762288
2021-01-03,5,NA
2021-01-03,6,NA
2021-01-03,7,NA
2021-01-03,8,270.446816762288
2021-01-03,9,270.446816762288
2021-01-04,1,271.277720133464
2021-01-04,2,271.277720133464
2021-01-04,3,271.277720133464
2021-01-04,4,271.277720133464
2021-01-04,5,NA
2021-01-04,6,NA
2021-01-04,7,NA
2021-01-04,8,271.277720133464
2021-01-04,9,271.277720133464
2021-01-05,1,276.612391153971
2021-01-05,2,276.612391153971
2021-01-05,3,276.612391153971
2021-01-05,4,276.612391153971
2021-01-05,5,NA
2021-01-05,6,NA
2021-01-05,7,NA
2021-01-05,8,276.612391153971
2021-01-05,9,276.612391153971
2021-01-06,1,266.002166748047
2021-01-06,2,266.002166748047
2021-01-06,3,266.002166748047
2021-01-06,4,266.002166748047
2021-01-06,5,NA
2021-01-06,6,NA
2021-01-06,7,NA
2021-01-06,8,266.002166748047
2021-01-06,9,266.002166748047
2021-01-07,1,267.551891326904
2021-01-07,2,267.551891326904
2021-01-07,3,267.551891326904
2021-01-07,4,267.551891326904
2021-01-07,5,NA
2021-01-07,6,NA
2021-01-07,7,NA
2021-01-07,8,267.551891326904
2021-01-07,9,267.551891326904
2021-01-08,1,269.329280853271
2021-01-08,2,269.329280853271
2021-01-08,3,269.329280853271
2021-01-08,4,269.329280853271
2021-01-08,5,NA
2021-01-08,6,NA
2021-01-08,7,NA
2021-01-08,8,269.329280853271
2021-01-08,9,269.329280853271
2021-01-09,1,262.154885609945
2021-01-09,2,262.154885609945
2021-01-09,3,262.154885609945
2021-01-09,4,262.154885609945
2021-01-09,5,NA
2021-01-09,6,NA
2021-01-09,7,NA
2021-01-09,8,262.154885609945
2021-01-09,9,262.154885609945
2021-01-10,1,267.128470102946
2021-01-10,2,267.128470102946
2021-01-10,3,267.128470102946
2021-01-10,4,267.128470102946
2021-01-10,5,NA
2021-01-10,6,NA
2021-01-10,7,NA
2021-01-10,8,267.128470102946
2021-01-10,9,267.128470102946
2021-01-11,1,269.382513682048
2021-01-11,2,269.382513682048
2021-01-11,3,269.382513682048
2021-01-11,4,269.382513682048
2021-01-11,5,NA
2021-01-11,6,NA
2021-01-11,7,NA
2021-01-11,8,269.382513682048
2021-01-11,9,269.382513682048
2021-01-12,1,270.9260597229
2021-01-12,2,270.9260597229
2021-01-12,3,270.9260597229
2021-01-12,4,270.9260597229
2021-01-12,5,NA
