"policeDistrict","date","temp_K","callscount","temp_F","PM25","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"Central","2021-06-06",302.353611111111,0,84.5664999999999,13.2,4.7,0,0,0,0,83,96,70,160,130,14.1,21,0,0,0,0,0,0,0
"Central","2021-06-06",302.353611111111,0,84.5664999999999,12,4.7,0,0,0,0,83,96,70,160,130,14.1,21,0,0,0,0,0,0,0
"Central","2021-06-07",306.923333333334,0,92.7920000000004,10.5,5.37,0,0,0,0,83,95,72,120,150,14.1,19.9,0,0,0,0,0,0,0
"Central","2021-06-08",298.54,0,77.7020000000001,9,4.25,0,0,0,0,82,91,76,290,300,15,19.9,0,0,1,0,0,0,0
"Central","2021-06-14",308.79,0,96.1520000000001,5.9,5.14,0,0.7,0,0,77,89,65,290,280,36,53.9,1,0,1,0,0,0,0
"Central","2021-06-16",310.746666666667,0,99.6740000000007,4.2,5.82,0,0,0,0,72,81,62,310,310,15,28,0,0,0,0,0,0,0
"Central","2021-06-17",300.371428571429,0,80.9985714285714,4.8,5.59,0,0,0,0,70,80,58,280,340,14.1,21,0,0,0,0,0,0,0
"Central","2021-06-18",312.026666666667,1,101.978000000001,8.7,6.71,0,0,0,0,72,86,54,220,230,15,23,0,0,0,0,0,0,0
"Central","2021-06-18",312.026666666667,1,101.978000000001,8,6.71,0,0,0,0,72,86,54,220,230,15,23,0,0,0,0,0,0,0
"Central","2021-06-19",301.697777777778,2,83.3860000000005,10.5,5.82,0,0,0,0,78,86,73,270,260,18.1,25.9,0,0,0,0,0,0,0
"Central","2021-06-21",310.56,0,99.3380000000001,9,5.59,0,0.4,0,0,82,94,73,280,280,32,48.1,1,0,1,0,0,0,0
"Central","2021-06-21",310.56,0,99.3380000000001,8.1,5.59,0,0.4,0,0,82,94,73,280,280,32,48.1,1,0,1,0,0,0,0
"Central","2021-06-24",305.066666666667,0,89.4500000000006,5.8,5.37,0,0,0,0,67,78,54,120,120,16.1,21,0,0,0,0,0,0,0
"Central","2021-06-24",305.066666666667,0,89.4500000000006,5.9,5.37,0,0,0,0,67,78,54,120,120,16.1,21,0,0,0,0,0,0,0
"Central","2021-06-25",309.103333333333,1,96.7159999999995,4,4.7,0,0,0,0,69,81,54,110,120,13,21.9,0,0,0,0,0,0,0
"Central","2021-06-26",292.991428571429,0,67.7145714285723,4.2,6.04,0,0.01,0,0,78,89,73,160,140,14.1,21.9,1,0,0,0,0,0,1
"Central","2021-06-28",294.153333333333,0,69.8059999999995,7.6,6.26,0,0,0,0,84,94,75,150,150,14.1,19.9,0,0,0,0,0,0,0
"Central","2021-06-29",297.586666666667,0,75.9860000000006,5.4,5.82,0,0,0,0,85,97,75,240,210,13,19.9,0,0,0,0,0,0,0
"Central","2021-06-30",314.48,0,106.394,7,5.37,0,0.1,0,0,87,99,73,290,290,29.1,40,0,0,1,0,0,0,0
"Central","2021-06-30",314.48,0,106.394,4.9,5.37,0,0.1,0,0,87,99,73,290,290,29.1,40,0,0,1,0,0,0,0
"Central","2021-07-01",305.017777777777,1,89.3619999999995,3.6,4.7,0,1.34,0,0,78,87,71,290,290,23,33.1,1,1,1,0,0,0,1
"Central","2021-07-04",292.228888888889,0,66.3420000000002,14.5,5.14,0,0,0,0,72,84,61,280,350,12.1,21,1,0,0,0,0,0,1
"Central","2021-07-05",303.3,1,86.2700000000001,20.8,4.25,0,0,0,0,78,91,64,200,220,12.1,21.9,1,0,0,0,0,0,1
"Central","2021-07-06",304.014444444445,0,87.5560000000002,17.5,6.93,0,0,0,0,83,96,71,220,220,15,23,0,0,0,0,0,0,0
"Central","2021-07-06",304.014444444445,0,87.5560000000002,16.6,6.93,0,0,0,0,83,96,71,220,220,15,23,0,0,0,0,0,0,0
"Central","2021-07-07",305.82,0,90.806,19.5,4.92,0,0.06,0,0,86,96,75,280,290,25.9,40,0,0,1,0,0,0,0
"Central","2021-07-08",305.314722222222,0,89.8964999999997,11.3,5.59,0,0.34,0,0,81,90,73,210,220,23.9,38,0,0,1,0,0,0,0
"Central","2021-07-15",306.91126984127,1,92.770285714286,9.3,3.36,0,0,0,0,82,95,70,160,100,10.1,18.1,0,0,0,0,0,0,0
"Central","2021-07-15",306.91126984127,1,92.770285714286,8.6,3.36,0,0,0,0,82,95,70,160,100,10.1,18.1,0,0,0,0,0,0,0
"Central","2021-07-17",301.538333333334,0,83.0990000000004,10.8,4.7,0,0.3,0,0,84,97,74,310,310,18.1,30,1,0,1,0,0,0,0
"Central","2021-07-18",316.186666666667,0,109.466000000001,5,9.62,0,0,0,0,77,84,72,290,290,23.9,33.1,0,0,0,0,0,0,0
"Central","2021-07-18",316.186666666667,0,109.466000000001,3.1,9.62,0,0,0,0,77,84,72,290,290,23.9,33.1,0,0,0,0,0,0,0
"Central","2021-07-21",304.96,1,89.2580000000001,27.7,6.71,0,0.08,0,0,81,93,68,330,330,25.1,38,0,0,1,0,0,0,1
"Central","2021-07-21",304.96,1,89.2580000000001,25.8,6.71,0,0.08,0,0,81,93,68,330,330,25.1,38,0,0,1,0,0,0,1
