"daytime","policeDistrict","date","actual_date","year","doy","temp_K","callscount","temp_F","UTCI"
0,"Central","2021-06-06",2021156,2021,156,294.545,0,70.5110000000001,299.817272186279
0,"Central","2021-06-07",2021157,2021,157,296.948888888889,0,74.8380000000002,301.375240325928
0,"Central","2021-06-08",2021158,2021,158,298.54,0,77.7020000000001,302.255102793376
0,"Central","2021-06-17",2021167,2021,167,293.402857142857,0,68.4551428571426,292.272886912028
0,"Central","2021-06-19",2021169,2021,169,292.46,0,66.758,296.235818227132
0,"Central","2021-06-26",2021176,2021,176,292.991428571429,0,67.7145714285723,297.010423024495
0,"Central","2021-06-28",2021178,2021,178,294.153333333333,0,69.8059999999995,301.220233917236
0,"Central","2021-06-29",2021179,2021,179,297.586666666667,0,75.9860000000006,302.648418426514
0,"Central","2021-07-01",2021181,2021,181,301.433333333333,0,82.9099999999994,302.057207743327
0,"Central","2021-07-04",2021184,2021,184,292.228888888889,0,66.3420000000002,296.630671183268
0,"Central","2021-07-06",2021186,2021,186,295.78,0,72.734,300.995796203613
0,"Central","2021-07-07",2021187,2021,187,298.144444444444,0,76.9899999999992,303.809211730957
0,"Central","2021-07-08",2021188,2021,188,299.544444444444,0,79.5099999999993,301.364624023438
0,"Central","2021-07-15",2021195,2021,195,299.651111111111,1,79.7019999999998,302.741039276123
0,"Central","2021-07-17",2021197,2021,197,295.65,0,72.5,302.912054697673
0,"Central","2021-07-21",2021201,2021,201,298.293333333333,1,77.2579999999995,300.597100575765
0,"Central","2021-07-22",2021202,2021,202,299.353333333333,0,79.1659999999995,296.488480885824
0,"Central","2021-07-24",2021204,2021,204,293.608,0,68.8244000000001,297.302576700846
0,"Central","2021-07-25",2021205,2021,205,294.295555555556,0,70.0620000000009,298.946595509847
0,"Central","2021-07-29",2021209,2021,209,298.566666666667,0,77.7500000000007,301.137683868408
0,"Central","2021-07-31",2021211,2021,211,296.48,0,73.9940000000001,296.203180948893
0,"Central","2021-08-03",2021214,2021,214,287.985714285714,0,58.7042857142852,295.607596079508
0,"Central","2021-08-04",2021215,2021,215,293.906666666667,0,69.3620000000006,294.858910878499
0,"Central","2021-08-06",2021217,2021,217,294.682857142857,0,70.7591428571427,298.428621927897
0,"Central","2021-08-10",2021221,2021,221,295.133333333333,0,71.5699999999994,301.983023325602
0,"Central","2021-08-26",2021237,2021,237,299.495555555556,0,79.4220000000008,303.707548777262
0,"Central","2021-08-31",2021242,2021,242,295.56,0,72.3380000000001,300.380714416504
0,"Central","2021-09-04",2021246,2021,246,290.168888888889,0,62.6340000000002,293.990342458089
0,"Central","2021-09-05",2021247,2021,247,292.36,0,66.5780000000001,292.518895467122
0,"Central","2021-09-08",2021250,2021,250,294.048571428571,0,69.6174285714278,295.392115275065
0,"Central","2021-09-11",2021253,2021,253,290.235555555556,0,62.7540000000009,291.74294535319
0,"Central","2021-09-12",2021254,2021,254,290.73,0,63.6440000000001,294.196590423584
0,"Central","2021-09-13",2021255,2021,255,292.246666666667,0,66.3740000000007,298.607732137044
0,"Central","2021-09-14",2021256,2021,256,295.493333333333,0,72.2179999999994,300.918421427409
0,"Central","2021-09-15",2021257,2021,257,296.38,0,73.814,298.855280558268
0,"Central","2021-09-16",2021258,2021,258,297.248888888889,0,75.3780000000002,297.351638793945
0,"Central","2021-09-19",2021261,2021,261,294.45,0,70.34,296.857332865397
0,"Central","2021-09-21",2021263,2021,263,291.83,0,65.624,292.756932576497
0,"Central","2021-09-22",2021264,2021,264,290.48,0,63.1940000000001,292.984895070394
0,"Central","2021-09-25",2021267,2021,267,283.597777777778,0,50.8060000000004,292.065383911133
0,"Central","2021-09-26",2021268,2021,268,288.756,1,60.0908,288.346747080485
0,"Central","2021-09-28",2021270,2021,270,289.606666666667,1,61.6220000000007,291.363337198893
0,"Central","2021-09-30",2021272,2021,272,290.62,0,63.4460000000001,288.42368443807
0,"Central","2021-10-01",2021273,2021,273,286.275,0,55.625,289.636254628499
0,"Central","2021-10-02",2021274,2021,274,288.313333333333,0,59.2939999999994,289.842381795247
0,"Central","2021-10-03",2021275,2021,275,287.54,0,57.9020000000001,293.993604024251
